                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.59859,                0.81021,                 1.0588,                0.99251,                0.99379,                  0.995,                0.92539,                0.39364,                0.74864,                 0.8744,             0.00023121,             0.00023121,             0.00023121
                     89,                0.62644,                 0.8282,                 1.0969,                0.99439,                0.99641,                  0.995,                0.92638,                0.37607,                0.72537,                0.85975,             0.00021471,             0.00021471,             0.00021471
                     90,                0.49701,                 1.1243,                 1.0029,                0.99439,                0.99641,                  0.995,                0.92638,                0.37607,                0.72537,                0.85975,             0.00019821,             0.00019821,             0.00019821
                     91,                0.44271,                0.98123,                0.94439,                0.99688,                      1,                  0.995,                0.93883,                0.36453,                0.72944,                0.84866,              0.0001817,              0.0001817,              0.0001817
                     92,                0.41838,                0.96474,                0.89773,                0.99688,                      1,                  0.995,                0.93883,                0.36453,                0.72944,                0.84866,              0.0001652,              0.0001652,              0.0001652
                     93,                0.42839,                 1.0001,                0.92214,                0.99254,                0.99861,                  0.995,                0.93706,                0.35555,                0.74908,                0.84185,              0.0001487,              0.0001487,              0.0001487
                     94,                0.44184,                 1.0114,                0.91005,                0.99254,                0.99861,                  0.995,                0.93706,                0.35555,                0.74908,                0.84185,             0.00013219,             0.00013219,             0.00013219
                     95,                0.43073,                0.94556,                0.94365,                 0.9902,                0.99816,                  0.995,                 0.9459,                 0.3453,                0.76904,                0.83477,             0.00011569,             0.00011569,             0.00011569
                     96,                0.48906,                 1.0445,                 1.0008,                 0.9902,                0.99816,                  0.995,                 0.9459,                 0.3453,                0.76904,                0.83477,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.44905,                0.93824,                0.98922,                0.99252,                0.99969,                  0.995,                0.94783,                0.33792,                0.77124,                0.82899,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.37212,                0.86991,                0.87758,                0.99252,                0.99969,                  0.995,                0.94783,                0.33792,                0.77124,                0.82899,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.41941,                0.93323,                0.94016,                0.99338,                      1,                  0.995,                0.95289,                0.33309,                0.76233,                 0.8252,             4.9677e-05,             4.9677e-05,             4.9677e-05
